,Country,Greek,Esperanto,English,Afrikaans,Vietnamese,Catalan,Italian,Kannada,Basque,Welsh,Arabic,Malayalam,Irish,Czech,Estonian,Azerbaijani,Indonesian,Spanish,Russian,Galician,Dutch,Portuguese,Latin,Turkish,Lithuanian,Latvian,Filipino,Panjabi,Thai,Gujarati,Romanian,Icelandic,Polish,Tamil,Yiddish,Belarusian,French,Bulgarian,Maltese,Malay,Croatian,Bengali,German,Korean,Haitian Creole,Danish,Persian,Hindi,Finnish,Hungarian,Japanese,Hebrew,Georgian,Telugu,Nepali,Chinese Traditional,Albanian,Norwegian,Swahili,Swedish,Macedonian,Urdu,Slovak,Chinese Simplified,Serbian,Somali,Ukrainian,Slovenian,Marathi,None,Total
20,South Africa,0.0,0,96.05,0.57,0.0,0.04,0.16,0.0,0,0.05,0.0,0.0,0,0.01,0.23,0,0.2,0.18,0.0,0,0.28,0.1,0,0.07,0.02,0.0,0.15,0.0,0.01,0.0,0.04,0,0.04,0.01,0,0,0.39,0.0,0,0,0.02,0.0,0.28,0.02,0,0.05,0.0,0.01,0.09,0.0,0.04,0.0,0,0.0,0.0,0.0,0.03,0.06,0.14,0.04,0.0,0.05,0.02,0.02,0,0.36,0.0,0.04,0.0,0.12,100.0
21,Nigeria,0.0,0,97.43,0.25,0.01,0.02,0.09,0.0,0,0.05,0.01,0.0,0,0.0,0.18,0,0.15,0.09,0.02,0,0.19,0.07,0,0.01,0.02,0.0,0.07,0.0,0.01,0.0,0.02,0,0.01,0.0,0,0,0.38,0.0,0,0,0.02,0.0,0.14,0.03,0,0.05,0.0,0.05,0.04,0.0,0.05,0.0,0,0.0,0.0,0.0,0.01,0.03,0.07,0.06,0.0,0.01,0.02,0.0,0,0.29,0.0,0.04,0.0,0.01,100.0
22,Colombia,0.0,0,26.36,0.41,0.01,0.76,0.49,0.0,0,0.04,0.01,0.0,0,0.01,0.19,0,0.15,66.28,0.01,0,0.28,1.96,0,0.04,0.04,0.01,0.17,0.0,0.01,0.0,0.09,0,0.03,0.0,0,0,0.82,0.0,0,0,0.03,0.0,0.29,0.18,0,0.02,0.01,0.0,0.14,0.02,0.04,0.0,0,0.0,0.0,0.0,0.02,0.01,0.11,0.04,0.0,0.0,0.03,0.01,0,0.67,0.0,0.18,0.0,0.04,100.0
23,Republic of Ireland,0.0,0,93.85,0.61,0.03,0.08,0.25,0.0,0,0.03,0.01,0.01,0,0.01,0.22,0,0.15,1.74,0.15,0,0.27,0.13,0,0.04,0.02,0.01,0.11,0.0,0.01,0.0,0.04,0,0.1,0.01,0,0,0.61,0.03,0,0,0.02,0.0,0.25,0.04,0,0.05,0.02,0.01,0.14,0.01,0.14,0.04,0,0.0,0.0,0.01,0.02,0.07,0.02,0.05,0.01,0.08,0.03,0.01,0,0.26,0.0,0.03,0.0,0.21,100.0
24,Finland,0.0,0,68.08,0.23,0.0,0.01,0.11,0.0,0,0.01,0.0,0.0,0,0.0,0.25,0,0.06,0.19,0.0,0,0.07,0.03,0,0.03,0.01,0.0,0.03,0.0,0.0,0.0,0.03,0,0.01,0.0,0,0,0.11,0.0,0,0,0.02,0.0,0.11,0.04,0,0.05,0.01,0.01,28.33,0.0,0.12,0.0,0,0.0,0.01,0.0,0.01,0.04,0.01,1.68,0.0,0.0,0.01,0.0,0,0.1,0.0,0.01,0.0,0.15,100.0
25,Belgium,0.09,0,49.51,2.05,0.02,0.35,0.83,0.0,0,0.03,0.03,0.0,0,0.07,0.3,0,0.15,1.35,0.0,0,20.63,0.17,0,0.1,0.04,0.01,0.1,0.0,0.01,0.0,0.07,0,0.07,0.01,0,0,20.59,0.0,0,0,0.03,0.0,1.26,0.05,0,0.11,0.04,0.0,0.31,0.01,0.13,0.0,0,0.0,0.0,0.0,0.02,0.19,0.03,0.51,0.01,0.06,0.05,0.0,0,0.32,0.0,0.12,0.0,0.19,100.0
26,Chile,0.0,0,37.9,0.29,0.03,0.61,0.81,0.0,0,0.06,0.02,0.0,0,0.0,0.23,0,0.16,55.86,0.0,0,0.28,0.65,0,0.05,0.08,0.01,0.05,0.0,0.03,0.0,0.08,0,0.02,0.0,0,0,0.4,0.0,0,0,0.05,0.0,0.7,0.3,0,0.01,0.0,0.0,0.18,0.01,0.06,0.0,0,0.0,0.01,0.0,0.01,0.05,0.04,0.22,0.0,0.0,0.01,0.02,0,0.34,0.0,0.22,0.0,0.18,100.0
27,Philippines,0.0,0,88.44,0.35,0.13,0.06,0.17,0.0,0,0.1,0.01,0.01,0,0.0,0.5,0,0.39,0.64,0.01,0,0.19,0.13,0,0.02,0.02,0.0,2.01,0.0,0.29,0.0,0.04,0,0.03,0.01,0,0,0.48,0.0,0,0,0.02,0.0,0.39,3.33,0,0.03,0.0,0.17,0.11,0.01,0.69,0.01,0,0.0,0.02,0.02,0.01,0.03,0.14,0.06,0.0,0.0,0.04,0.07,0,0.65,0.0,0.04,0.0,0.14,100.0
28,Turkey,0.01,0,28.65,0.34,0.01,0.04,0.08,0.0,0,0.04,0.29,0.0,0,0.0,0.14,0,0.7,0.44,0.09,0,0.3,0.1,0,62.73,0.02,0.01,0.14,0.0,0.06,0.0,0.49,0,0.01,0.0,0,0,1.46,0.01,0,0,0.03,0.0,1.49,0.39,0,0.14,0.17,0.02,0.22,0.01,0.33,0.03,0,0.0,0.0,0.0,0.04,0.14,0.04,0.28,0.04,0.13,0.0,0.02,0,0.19,0.0,0.07,0.0,0.08,100.0
29,Switzerland,0.02,0,49.96,0.76,0.0,0.29,1.21,0.0,0,0.04,0.15,0.0,0,0.02,0.21,0,0.19,0.79,0.03,0,0.7,0.12,0,0.2,0.01,0.01,0.14,0.0,0.1,0.0,0.15,0,0.15,0.06,0,0,14.43,0.0,0,0,0.03,0.0,27.68,0.4,0,0.13,0.06,0.01,0.19,0.0,0.65,0.01,0,0.0,0.0,0.0,0.02,0.13,0.02,0.35,0.0,0.05,0.06,0.01,0,0.24,0.0,0.13,0.0,0.11,100.0
30,Malaysia,0.0,0,86.19,0.65,0.1,0.11,0.17,0.0,0,0.12,0.05,0.03,0,0.01,0.59,0,3.88,0.38,0.01,0,0.3,0.09,0,0.09,0.04,0.0,0.25,0.0,0.3,0.0,0.05,0,0.01,0.28,0,0,0.42,0.0,0,0,0.04,0.0,0.49,1.74,0,0.02,0.03,0.14,0.2,0.01,1.29,0.0,0,0.0,0.0,0.02,0.1,0.05,0.25,0.05,0.0,0.41,0.04,0.06,0,0.7,0.0,0.06,0.0,0.19,100.0
31,Russia,0.0,0,66.86,0.67,0.02,0.1,0.49,0.0,0,0.07,0.08,0.0,0,0.02,1.21,0,0.26,1.11,15.62,0,0.48,0.27,0,0.3,0.03,0.01,0.08,0.0,3.78,0.0,0.14,0,0.12,0.02,0,0,1.63,1.09,0,0,0.12,0.0,1.08,0.5,0,0.1,0.12,0.09,0.2,0.02,1.48,0.0,0,0.0,0.01,0.01,0.02,0.16,0.05,0.16,0.17,0.05,0.08,0.05,0,0.42,0.04,0.39,0.0,0.23,100.0
32,Venezuela,0.0,0,35.66,0.46,0.0,0.47,0.73,0.0,0,0.26,0.0,0.0,0,0.0,0.36,0,0.17,58.58,0.0,0,0.24,0.6,0,0.02,0.01,0.01,0.12,0.0,0.01,0.0,0.06,0,0.02,0.0,0,0,0.74,0.0,0,0,0.02,0.0,0.23,0.11,0,0.01,0.0,0.0,0.08,0.0,0.01,0.0,0,0.01,0.0,0.0,0.0,0.02,0.1,0.05,0.0,0.0,0.05,0.0,0,0.55,0.0,0.19,0.0,0.02,100.0
33,New Zealand,0.0,0,93.6,0.65,0.02,0.03,0.24,0.0,0,0.04,0.0,0.0,0,0.0,0.29,0,0.15,0.37,0.11,0,0.3,0.1,0,0.02,0.0,0.01,0.07,0.0,0.17,0.0,0.04,0,0.04,0.0,0,0,0.33,0.03,0,0,0.02,0.0,0.48,0.95,0,0.12,0.02,0.06,0.13,0.01,0.62,0.0,0,0.0,0.04,0.0,0.0,0.07,0.03,0.06,0.0,0.02,0.02,0.08,0,0.3,0.0,0.02,0.0,0.31,100.0
